mapping_id,role_id,sub_menu_id,privilege_id,created_by,created_date,last_modified_by,last_modified_date
340,11,50,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
341,11,50,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
342,11,50,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
343,11,50,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
344,11,50,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
345,11,51,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
346,11,51,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
347,11,51,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
348,11,51,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
349,11,51,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
350,11,52,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
351,11,52,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
352,11,52,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
353,11,52,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
354,11,52,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
355,11,53,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
356,11,53,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
357,11,53,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
358,11,53,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
359,11,53,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
360,11,54,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
361,11,54,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
362,11,54,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
363,11,54,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
364,11,54,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
365,11,55,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
